Date,Conversation,Location,Source,Duration,Weight,Label,Target
"March 1, 1972",34–060,Oval Office,Nixon,41,6,Discussion on Watergate investigation,Dean
"March 20, 1972",34–075,White House Telephone,Nixon,22,4,Coordination of press statements,Ziegler
"April 10, 1972",34–090,Oval Office,Nixon,35,8,Strategy session for upcoming election campaign,Haldeman
"April 25, 1972",34–105,Oval Office,Nixon,28,6,Review of legislative achievements and challenges,Ehrlichmann
"May 5, 1972",34–120,Oval Office,Nixon,33,7,Update on Middle East peace negotiations,Kissinger
"May 15, 1972",34–135,White House Telephone,Nixon,26,5,Discussion on public relations strategies,Colson
"June 1, 1972",34–150,Oval Office,Nixon,42,6,Update on Watergate investigation,Dean
"June 10, 1972",34–165,White House Telephone,Nixon,23,4,Coordination of press coverage for upcoming events,Ziegler
"July 1, 1972",34–180,Oval Office,Nixon,37,8,Strategy meeting on legislative priorities,Haldeman
"July 15, 1972",34–195,Oval Office,Nixon,31,6,Review of campaign progress and media coverage,Ehrlichmann
"August 1, 1972",34–210,Oval Office,Nixon,34,7,Update on international relations and foreign policy,Kissinger
"August 15, 1972",34–225,White House Telephone,Nixon,29,5,Discussion on political strategy and media relations,Colson
"September 1, 1972",34–240,Oval Office,Nixon,40,6,Update on Watergate investigation,Dean
"September 15, 1972",34–255,White House Telephone,Nixon,24,4,Coordination of press statements,Ziegler
"October 1, 1972",34–270,Oval Office,Nixon,39,8,Strategy session for upcoming election campaign,Haldeman
"November 1, 1972",34–285,Oval Office,Nixon,32,7,Final campaign efforts,Kissinger
"January 2, 1973",035-051,White House Telephone,Nixon,7,3,Discussion on Supreme Court appointments,Chief Justice Burger
"January 3, 1973",035-078,White House Telephone,Nixon,20,5,Discussion on media and press relationships,Colson
"January 26, 1973",113-004,Cabinet Room,"Nixon, Congressional Leaders",53,9,Bipartisan strategy meeting on legislation and Vietnam,Agnew
"March 14, 1973",419-034,Old Executive Office Building,Nixon,75,8,Executive privilege & Watergate fallout,"Ziegler, Dean,Sanchez,Kissinger"
"March 14, 1973",419-035,Old Executive Office Building,Nixon,75,8,Continued discussion on same subjects,"Ziegler, Dean,Sanchez,Kissinger"
"April 17, 1973",898-6,	Oval Office,Nixon,3,5,Discussion about Watergate legal strategy,Haldeman
"April 17, 1973",898-7,	Oval Office,Nixon,3,5,Follow-up on legal funding for defendants,Haldeman
"April 17, 1973",898-12,Oval Office,Nixon,12,6,"Talks on hush money, Dean’s loyalty, media pressure","Haldeman,Ziegler"
"April 17, 1973",898-13,	Oval Office,Nixon,12,6,Continued crisis management after Dean's revelations,"Haldeman,Ziegler"
"April 19, 1973",902-9,	Oval Office,Nixon,7,4,Blackmail fears and Watergate strategy,Ehrlichmann
"April 19, 1973",902-10,	Oval Office,Nixon,7,4,Continuation on cover-up exposure and political fallout,Ehrlichmann
"April 25, 1973",430-023,Old Executive Office Building,Nixon,68,6,Justice Dept. and grand jury conflicts on Watergate,Petersen
"April 25, 1973",430-024,Old Executive Office Building,Nixon,68,6,Continued legal maneuvering and leaks,Petersen
"May 29, 1973",039-034,	White House Telephone,Nixon,1,2,Request for aide Manolo Sanchez,WH  Operator
"May 29, 1973",039-035,	White House Telephone,Nixon,1,2,Follow-up on Sanchez,WH  Operator
"June 14, 1973",446-006a,Old Executive Office Building,Nixon,103,7,"Economy speech prep, public confidence, and Vietnam","Buzhardt, Ziegler, Kissinger"
